alpha,beta,phase_offset,psi_offset,chi_red,K
61.43391057438702,1.7950571256412502,8.206854243845662,9.723735662909775,1.2228733352069696,-28.03764580513734
47.20811450914038,1.6476388529027162,8.206854243845662,9.723735662909775,1.1901404863079466,-25.521935707962093
101.87223698937646,2.117563105635014,8.206854243845662,9.723735662909775,1.188870669672575,-26.484651076474485
116.04106734090676,2.2288857138347566,8.206854243845662,9.723735662909775,1.174151565023207,-23.102160670026855
34.57987292498459,1.2204561102571887,8.206854243845662,9.723735662909775,1.1726038058534998,-26.64654603094831
138.61545852980396,1.6266592631988317,8.206854243845662,9.723735662909775,1.166095056067243,-23.28937086038762
35.919259643756256,1.2340231587943862,8.206854243845662,9.723735662909775,1.1583670680606846,-27.240055448255074
65.20121804383635,1.8829632617181744,8.206854243845662,9.723735662909775,1.1503218715354404,-27.627566575134033
82.5265332026169,2.3706821562173133,8.206854243845662,9.723735662909775,1.1487125082432192,-23.970010439248824
139.2268200566729,1.5813836765968858,8.206854243845662,9.723735662909775,1.1467281666392648,-23.66452100315035
95.92691736179786,2.1441876288050565,8.206854243845662,9.723735662909775,1.144815290194597,-26.584802429898286
99.18525372629482,2.408832548494175,8.206854243845662,9.723735662909775,1.1434496895118782,-23.48762819879721
102.04422481218862,2.1327276524201295,8.206854243845662,9.723735662909775,1.141762428666148,-26.27970787181527
38.24246276076364,1.318599570210807,8.206854243845662,9.723735662909775,1.141713135432582,-26.89875125465891
54.89337968173383,1.8503287135965536,8.206854243845662,9.723735662909775,1.1404098744228408,-25.336507442682397
92.55828912791992,2.1429694538842483,8.206854243845662,9.723735662909775,1.1403327277897477,-26.71620994959289
50.696454660562566,1.7275835618420956,8.206854243845662,9.723735662909775,1.1316326694480277,-25.667210543018008
83.21410260910983,2.369399776878936,8.206854243845662,9.723735662909775,1.128915583273458,-24.019003003241643
90.1315665333046,2.1410620635567454,8.206854243845662,9.723735662909775,1.128226738258034,-26.76660630838204
90.981917497012,2.1441225878054837,8.206854243845662,9.723735662909775,1.1268339087135455,-26.72456288538718
44.424527361057194,1.466769169914926,8.206854243845662,9.723735662909775,1.1261579750453574,-27.345582831888766
45.0379325936103,1.5481300540284622,8.206854243845662,9.723735662909775,1.1248224766914543,-26.190293948719315
90.24618166172957,2.407475881306368,8.206854243845662,9.723735662909775,1.1226894237536393,-23.805893176781275
134.61454513655065,1.71937520591662,8.206854243845662,9.723735662909775,1.121864020597391,-23.724894408559265
130.57437103855696,1.779810637085518,8.206854243845662,9.723735662909775,1.1213191517306762,-24.455812674471332
100.56364054154422,2.393141936079303,8.206854243845662,9.723735662909775,1.1209906284091218,-23.542734239621822
80.47857914853023,2.339331994910083,8.206854243845662,9.723735662909775,1.119005830015558,-24.161669062859296
43.36289818747155,1.485285459671573,8.206854243845662,9.723735662909775,1.1187659181964031,-26.489625470532232
59.959636379412096,1.9721202430283,8.206854243845662,9.723735662909775,1.1187417324226483,-25.155262055943684
130.18647014552715,1.862699968351805,8.206854243845662,9.723735662909775,1.116136596357259,-23.502836020837773
101.12125680316748,2.387646159654693,8.206854243845662,9.723735662909775,1.1155286270752394,-23.552948419139412
63.21798043175499,2.0472466350169753,8.206854243845662,9.723735662909775,1.114959652972987,-24.98985191575407
86.2382486354103,2.385312372467567,8.206854243845662,9.723735662909775,1.1126759734121212,-23.975414760899742
63.70723602939413,1.872990817023819,8.206854243845662,9.723735662909775,1.1108335007979229,-27.43059073138971
81.92306693037726,2.3502039998947453,8.206854243845662,9.723735662909775,1.1096483265974626,-24.1440035003959
47.95246635488901,1.630575593142595,8.206854243845662,9.723735662909775,1.1087273928655212,-26.09691029343515
89.41146535784054,2.1458834226178425,8.206854243845662,9.723735662909775,1.1083437316964135,-26.705156772356595
72.82246974749876,2.0095528492054484,8.206854243845662,9.723735662909775,1.1066316363291617,-27.24550552795508
99.03625966964272,2.394731535475273,8.206854243845662,9.723735662909775,1.1063626806807316,-23.63570486388469
96.81579374658412,2.1586607132824156,8.206854243845662,9.723735662909775,1.1045128552186299,-26.36093831373008
79.74371810458251,2.325408738057064,8.206854243845662,9.723735662909775,1.1042725671240765,-24.251969662463456
85.42232581744607,2.3762389839277063,8.206854243845662,9.723735662909775,1.1032934477836704,-24.0419357347351
109.88390853040217,2.296136398826306,8.206854243845662,9.723735662909775,1.1021195515431184,-23.47179420717714
126.8476003807506,1.948319107008132,8.206854243845662,9.723735662909775,1.1020650843403752,-23.537641074135053
129.14762727279742,1.825495240837384,8.206854243845662,9.723735662909775,1.1014757744374297,-24.344982469024366
57.441119993363195,1.9002176706719496,8.206854243845662,9.723735662909775,1.1013827121031152,-25.41812089330376
